Funcion,n,Tiempo (microsegundos)
pushFront,10000,0
topFront,10000,1979
popFront,10000,0
pushBack,10000,0
topBack,10000,0
popBack,10000,0
find,10000,1504
addBefore,10000,1018
addAfter,10000,0
erase,10000,0
isEmpty,10000,449
pushFront,100000,0
topFront,100000,0
popFront,100000,1016
pushBack,100000,0
topBack,100000,0
popBack,100000,0
find,100000,0
addBefore,100000,996
addAfter,100000,1000
erase,100000,999
isEmpty,100000,0
pushFront,1000000,2515
topFront,1000000,0
popFront,1000000,2000
pushBack,1000000,0
topBack,1000000,0
popBack,1000000,0
find,1000000,2513
addBefore,1000000,2003
addAfter,1000000,2009
erase,1000000,2003
isEmpty,1000000,0
pushFront,10000000,5501
topFront,10000000,1004
popFront,10000000,6522
pushBack,10000000,0
topBack,10000000,0
popBack,10000000,0
find,10000000,4118
addBefore,10000000,3986
addAfter,10000000,6029
erase,10000000,4008
isEmpty,10000000,0
pushFront,100000000,56939
topFront,100000000,999
popFront,100000000,56088
pushBack,100000000,0
topBack,100000000,0
popBack,100000000,0
find,100000000,31766
addBefore,100000000,56429
addAfter,100000000,63637
erase,100000000,41820
isEmpty,100000000,0
pushFront,200000000,102884
topFront,200000000,0
popFront,200000000,98983
pushBack,200000000,0
topBack,200000000,0
popBack,200000000,0
find,200000000,60675
addBefore,200000000,99096
addAfter,200000000,102446
erase,200000000,61816
isEmpty,200000000,0
pushFront,300000000,147831
topFront,300000000,0
popFront,300000000,147287
pushBack,300000000,0
topBack,300000000,994
popBack,300000000,0
find,300000000,86552
addBefore,300000000,153137
addAfter,300000000,144655
erase,300000000,85513
isEmpty,300000000,0
pushFront,400000000,188673
topFront,400000000,0
popFront,400000000,207304
pushBack,400000000,0
topBack,400000000,996
popBack,400000000,0
find,400000000,113481
addBefore,400000000,193816
addAfter,400000000,208170
erase,400000000,112729
isEmpty,400000000,0
pushFront,500000000,242858
topFront,500000000,0
popFront,500000000,253373
pushBack,500000000,0
topBack,500000000,0
popBack,500000000,0
find,500000000,141504
addBefore,500000000,242467
addAfter,500000000,253942
erase,500000000,155042
isEmpty,500000000,0
pushFront,600000000,301793
topFront,600000000,995
popFront,600000000,326876
pushBack,600000000,0
topBack,600000000,0
popBack,600000000,0
find,600000000,170040
addBefore,600000000,296036
addAfter,600000000,305541
erase,600000000,174151
isEmpty,600000000,0
pushFront,700000000,373373
topFront,700000000,0
popFront,700000000,353566
pushBack,700000000,0
topBack,700000000,0
popBack,700000000,0
find,700000000,215379
addBefore,700000000,340845
addAfter,700000000,358611
erase,700000000,197139
isEmpty,700000000,999
pushFront,800000000,423571
topFront,800000000,0
popFront,800000000,425338
pushBack,800000000,0
topBack,800000000,1001
popBack,800000000,0
find,800000000,224310
addBefore,800000000,386845
addAfter,800000000,405782
erase,800000000,221102
isEmpty,800000000,1000
pushFront,900000000,439157
topFront,900000000,974
popFront,900000000,439864
pushBack,900000000,0
topBack,900000000,994
popBack,900000000,0
find,900000000,249760
addBefore,900000000,443335
addAfter,900000000,435995
erase,900000000,251752
isEmpty,900000000,0
pushFront,1000000000,497468
topFront,1000000000,0
popFront,1000000000,480958
pushBack,1000000000,0
topBack,1000000000,0
popBack,1000000000,0
find,1000000000,276988
addBefore,1000000000,492762
addAfter,1000000000,475179
erase,1000000000,276527
isEmpty,1000000000,0
